image_name,hue,saturation,value,body_proportion_1,body_proportion_2,body_proportion_3
1.jpg,9.906403941,87.28078818,188.2192118,0.72242695,2.003853,0.5805761
1000.jpg,9.995412844,72.88761468,199.1605505,0.705134,2.01857,0.58646417
1003.jpg,8.856677524,86.42996743,182.3192182,0.7075517,1.8595196,0.58563375
1006.jpg,9.747440273,96.5665529,185.105802,0.7406533,1.6833248,0.5744969
1014.jpg,8.196687371,93.32919255,198.2857143,0.69835263,1.6856987,0.58880585
1019.jpg,8.467391304,129.8007246,142.7789855,0.71993655,1.59993,0.5814168
1022.jpg,10.06738544,90.76280323,170.8086253,0.7500282,1.7618126,0.5714194
1032.jpg,11.66059226,89.33257403,190.7471526,0.72689265,1.4552296,0.5790748
1035.jpg,9.224376731,84.21606648,185.7368421,0.708515,1.9999155,0.5853036
1042.jpg,9.724233983,89.8913649,186.8022284,0.6549099,1.8917178,0.60426253
1047.jpg,10.10344828,92.97126437,172.8390805,0.68764675,1.5711254,0.5925411
1050.jpg,9.882681564,91.88826816,168.5307263,0.7192496,1.6777351,0.58164907
1065.jpg,8.491408935,91.18900344,180.9003436,0.7256774,1.4975938,0.57948256
1079.jpg,9.950131234,92.90813648,180.8425197,0.6838824,1.7841277,0.5938657
1082.jpg,10.76438356,97.25753425,184.8219178,0.68549126,1.7360278,0.59329885
1085.jpg,9.622222222,97.04691358,176.6024691,0.73038876,1.822123,0.5779048
1086.jpg,7.061994609,96.02156334,170.6280323,0.79537153,1.4222881,0.5569878
1095.jpg,10.50670241,82.13404826,199.6085791,0.7075248,1.7263389,0.585643
1098.jpg,9.389027431,73.60598504,209.2942643,0.72374326,1.7669076,0.58013284
1104.jpg,9.191343964,80.20728929,190.8610478,0.6988596,1.8794214,0.5886302
1107.jpg,9.576576577,96.29129129,177.8048048,0.67856216,1.9480367,0.595748
1110.jpg,9.364764268,91.17121588,187.7866005,0.747196,1.9083172,0.5723456
1112.jpg,10.07435897,96.86666667,179.3128205,0.7038453,1.7759076,0.58690774
1114.jpg,9.374701671,94.66825776,195.7303103,0.6699853,1.408557,0.59880763
1119.jpg,8.340909091,133.8831169,137.8246753,0.6878768,1.6984533,0.5924603
1122.jpg,9.721485411,88.94960212,185.1830239,0.7368094,1.7144649,0.5757684
1123.jpg,9.729946524,88.95454545,185.0775401,0.7368094,1.7144649,0.5757684
1129.jpg,9.808580858,91.05940594,189.290429,0.752964,1.7242284,0.57046235
1137.jpg,10.32493703,84.58438287,198.9546599,0.714943,1.8368446,0.58310974
1140.jpg,10.4975892,104.80135,179.6991321,1.5119097,1.7970433,0.39810348
1142.jpg,10.83971292,103.6555024,180.2464115,0.6967433,1.9136417,0.58936435
1145.jpg,7.711864407,85.6920904,178.1751412,0.74019796,1.6249787,0.57464725
1148.jpg,7.716723549,89.78156997,173.112628,0.75836843,1.9429959,0.568709
1152.jpg,8.80952381,86.54232804,174.9074074,0.75466573,1.6986648,0.56990916
1154.jpg,7.947194719,90.9669967,171.5148515,0.7346765,1.6452707,0.5764764
1157.jpg,7.594155844,88.99350649,173.4415584,0.7445128,1.6692339,0.573226
1160.jpg,7.80075188,87.95112782,170.8270677,0.74374294,1.8240322,0.573479
1163.jpg,8.128289474,147.5361842,127.1513158,0.6908395,1.8142605,0.5914222
1175.jpg,9.281337047,98.13927577,179.8495822,0.7486618,1.5982744,0.57186586
1182.jpg,9.302052786,123.5073314,137.6715543,0.8627757,1.6900743,0.5368333
1189.jpg,9.036939314,77.26912929,190.6622691,0.69808686,1.8786975,0.588898
1196.jpg,8.055674518,71.79657388,193.3126338,0.70810777,1.5611947,0.58544314
12.jpg,6.348189415,105.6768802,150.6518106,0.67234683,1.6020584,0.5979621
1202.jpg,10.19905213,103.7132701,174.1042654,0.73019636,1.6553295,0.5779691
1212.jpg,11.25982533,110.1790393,187.0786026,0.7514826,1.6629248,0.5709449
1220.jpg,8.771300448,86.89910314,165.7735426,0.74024075,1.7769959,0.5746331
1224.jpg,9.14893617,92.89834515,159.1938534,0.8173842,1.7234697,0.5502414
1229.jpg,9.987714988,89.05159705,183.3538084,0.7230285,1.5865275,0.58037347
1232.jpg,8.858433735,69.37048193,208.2379518,0.84085137,1.6102451,0.54322696
1244.jpg,10.30238727,118.5278515,166.6233422,0.68583244,1.7769608,0.59317875
1253.jpg,9.9125,104.23125,170.809375,0.7624445,1.8068011,0.5673938
1255.jpg,9.64921466,92.66492147,182.8612565,0.72568655,1.8126715,0.5794795
1259.jpg,9.749206349,101.4666667,169.8285714,0.77139765,1.8026215,0.56452596
1260.jpg,9.125698324,123.3854749,140.3519553,0.85693675,1.6862334,0.5385213
1274.jpg,10.36479592,90.80867347,178.7908163,0.7444038,1.8203249,0.57326174
1278.jpg,8.525373134,110.4686567,147.2298507,0.81587,1.6977843,0.55070025
1287.jpg,10.10209424,96.95549738,168.1518325,0.6941505,1.7862177,0.59026635
1291.jpg,8.356902357,129.5858586,138.3569024,0.6901351,1.8617159,0.59166867
1294.jpg,8.583617747,128.0648464,153.4709898,0.7545389,1.7102497,0.5699503
1300.jpg,8.155223881,87.01492537,173.3940299,0.7083649,1.6919258,0.58535504
1301.jpg,8.009913259,92.62577447,166.0322181,2.0330033,1.5478569,0.3297062
1310.jpg,12.75592417,147.4834123,183.4170616,0.7216668,1.7713397,0.5808325
1315.jpg,8.453038674,86.86187845,198.1187845,0.72768676,1.671645,0.57880867
1318.jpg,8.632241814,92.29722922,180.0352645,0.89660645,1.8450799,0.5272575
1324.jpg,9.122762148,71.50383632,193.3606138,0.74747175,1.7076735,0.5722553
1332.jpg,9.619158879,93.73130841,181.6168224,0.708701,1.9915433,0.5852399
1335.jpg,8.361204013,133.4381271,125.6956522,0.6583006,1.7099799,0.603027
1338.jpg,10.58783784,103.6373874,175.9256757,0.6783003,2.0189083,0.59584093
1341.jpg,9.98005698,93.35327635,197.957265,0.7298974,1.8111098,0.578069
1345.jpg,10.62215909,93.15056818,186.25,0.7042892,1.7036624,0.58675486
1360.jpg,10.41836735,78.31122449,198.2984694,0.75604945,1.7976772,0.56946003
1362.jpg,11.50621118,81.39751553,200.4285714,0.63493687,1.6806133,0.61164445
1364.jpg,9.202216066,111.0886427,155.4182825,0.7623015,1.8453571,0.5674398
1370.jpg,10.125,83.39583333,203.5390625,0.73976606,1.7575518,0.57478994
1372.jpg,9.775510204,86.58600583,207.5247813,0.72979295,1.7680521,0.5781039
1383.jpg,8.994428969,76.15320334,191.4846797,0.73109686,1.7838578,0.5776684
1403.jpg,9.852272727,86.32102273,188.5653409,0.7563104,1.7490643,0.5693754
1405.jpg,10.71518987,89.86919831,176.7721519,0.7221572,1.9657437,0.58066714
1409.jpg,10.70927835,90.8185567,175.1690722,0.723389,1.9613117,0.58025205
1412.jpg,9.213032581,89.36591479,175.0902256,0.7860901,1.9444599,0.55988216
1416.jpg,9.334916865,87.66983373,181.1995249,0.79283786,2.0902772,0.55777496
1422.jpg,8.883928571,94.08258929,185.0669643,0.67135435,1.9815586,0.59831715
1425.jpg,8.929752066,93.76239669,184.3471074,0.67528754,1.9997755,0.59691244
1426.jpg,10.17313433,100.3731343,183.3731343,0.7306799,1.7133462,0.57780755
1434.jpg,11.34736842,103.4315789,174.9842105,0.7154722,1.9048531,0.58292985
1440.jpg,9.303135889,121.0836237,117.1463415,0.7119509,1.9894603,0.5841289
1441.jpg,10.06666667,117.1030303,146.6242424,0.7229488,1.6793834,0.58040035
1452.jpg,10.41387025,74.29306488,193.0693512,0.67943394,1.9722866,0.5954387
1462.jpg,6.868715084,72.82122905,186.9385475,0.7569329,1.6236174,0.5691737
1463.jpg,9.9225,92.83,190.815,0.775217,1.7248168,0.5633114
1464.jpg,11.49376559,107.2493766,171.957606,0.71727014,1.8601876,0.5823196
1470.jpg,10.61538462,106.4179487,173.6358974,0.734032,1.5620323,0.5766906
1474.jpg,7.617449664,133.6510067,129.8970917,0.71685785,1.8086474,0.5824594
1478.jpg,8.174927114,125.3644315,117.2682216,0.67781943,1.8454164,0.5960117
1482.jpg,8.756097561,133.554007,137.0592334,0.7003244,1.7389412,0.588123
1488.jpg,9.874331551,105.0534759,168.0802139,0.7161195,1.6686261,0.58270997
1491.jpg,9.473389356,83.83193277,200.6190476,0.7527462,1.771379,0.5705333
1497.jpg,8.50295858,82.56804734,184.4940828,0.6360151,1.6613536,0.6112413
1504.jpg,11.37700535,104.7941176,170.3475936,0.6875692,1.8218507,0.59256834
1512.jpg,11.24739583,106.9505208,169.5260417,0.6625517,1.7372053,0.6014851
1516.jpg,8.990384615,91.08173077,167.8004808,0.7789843,1.8101145,0.5621185
1517.jpg,8.997607656,91.13157895,167.6889952,0.7789843,1.8101145,0.5621185
1521.jpg,8.902748414,91.74630021,170.2156448,0.861898,1.6878669,0.53708637
1534.jpg,8.829166667,97.67708333,161.58125,0.7527869,1.7276715,0.57052004
1537.jpg,9.026455026,93.33597884,168.8306878,0.7667959,1.4034948,0.56599635
1541.jpg,8.742788462,90.54326923,168.9807692,0.7821587,1.7267164,0.5611173
1545.jpg,9.496083551,93.46997389,202.0261097,0.7381643,1.4817926,0.5753196
1546.jpg,9.543307087,92.88976378,202.7952756,0.7381643,1.4817926,0.5753196
1549.jpg,8.6,137.8597015,118.880597,0.71898764,1.8792679,0.5817377
1552.jpg,9.939637827,97.33199195,173.637827,0.7846398,1.8482476,0.5603372
1553.jpg,9.91283293,70.6440678,195.7530266,0.5523591,1.7524017,0.64418083
1564.jpg,9.82160804,88.78894472,193.361809,0.6782061,1.655138,0.5958744
1565.jpg,8.869135802,98.03703704,170.2320988,0.81428736,1.6710299,0.5511806
1568.jpg,10.72033898,60.70621469,203.3305085,0.7203841,1.8113106,0.58126557
1580.jpg,10.54441261,77.76790831,195.8080229,0.69199216,1.6770959,0.5910193
1586.jpg,10.58849558,80.90929204,195.6681416,0.78850186,1.7565055,0.55912715
1590.jpg,9.728,83.016,194.2826667,0.7319971,1.8037922,0.5773682
1595.jpg,8.136708861,92.89367089,202.6202532,0.85862404,1.8739128,0.5380324
1602.jpg,10.95928753,76.80916031,181.653944,0.67030215,1.7003895,0.5986941
1603.jpg,9.520348837,98.56686047,179.9825581,0.70198333,1.6088674,0.5875498
1617.jpg,8.609042553,83.92287234,193.5239362,0.8091178,1.8614098,0.55275565
1623.jpg,7.715231788,88.03642384,175.8377483,0.690062,1.8974519,0.5916943
1625.jpg,9.487437186,74.63819095,188.8492462,0.61020917,1.7954088,0.6210373
1630.jpg,9.24824356,88.47306792,181.0257611,0.70253474,1.8836744,0.58735955
1637.jpg,10.88983051,159.5028249,153.3361582,0.7029052,1.5767351,0.58723176
1647.jpg,8.344322344,90.67399267,174.1721612,0.7299199,1.797123,0.5780614
1651.jpg,10.2519685,75.25459318,198.3963255,0.73498744,1.8146161,0.57637304
1654.jpg,7.722021661,95.01444043,168.898917,0.6908967,1.7737209,0.5914022
1655.jpg,9.326470588,100.5794118,169.2205882,0.6873631,1.8787628,0.5926407
1658.jpg,8.238329238,77.47174447,194.6805897,0.75600016,1.6768533,0.56947607
1663.jpg,8.482897384,79.58350101,194.5191147,0.7352158,1.7028054,0.5762972
1665.jpg,10.11971831,88.71830986,195.0211268,0.69052577,1.695717,0.59153193
1672.jpg,7.667481663,84.88508557,190.0611247,0.74929225,1.7453356,0.5716598
1675.jpg,8.476780186,134.8947368,131.6563467,0.76832074,1.7155855,0.56550825
1682.jpg,9.687234043,93.61489362,195.587234,0.66890067,1.352223,0.59919685
1689.jpg,9.877990431,92.77751196,190.34689,0.68678504,1.6492511,0.5928438
1693.jpg,9.352750809,123.368932,134.6213592,0.685016,1.7380521,0.59346616
17.jpg,6.378461538,66.48,185.0092308,0.6527914,1.6317056,0.60503703
1704.jpg,10.24698795,94.51405622,181.5220884,0.7185917,1.6103905,0.5818718
1705.jpg,8.721212121,77.55757576,188.8060606,0.7824974,1.868017,0.5610106
1711.jpg,9.051020408,87.7627551,175.1760204,0.71443635,1.7810735,0.58328205
1719.jpg,9.368303571,81.80357143,202.8482143,0.7114119,1.7184162,0.5843129
1722.jpg,8.277647059,82.87529412,183.0447059,0.73246235,1.5618956,0.5772131
1725.jpg,9.850340136,95.72789116,180.1836735,0.7600582,1.9130621,0.56816304
1735.jpg,8.832258065,137.1903226,141.0677419,0.7934675,1.671999,0.5575791
1740.jpg,9.366906475,86.33333333,186.6498801,0.87777,1.7228111,0.5325466
1743.jpg,10.44258373,83.29904306,193.8588517,0.72866666,1.6957464,0.57848054
1747.jpg,7.105714286,65.36857143,198.5657143,0.8018242,1.6991686,0.5549931
1755.jpg,10.80381471,102.2288828,199.1634877,0.66020423,1.7428157,0.6023356
1762.jpg,8.784090909,82.64204545,181.5880682,0.68021464,1.7061154,0.59516203
1763.jpg,9.793367347,77.74744898,193.4923469,0.8426564,2.0220113,0.5426948
1771.jpg,9.997752809,89.69213483,193.5820225,0.81791234,1.6681209,0.55008155
1773.jpg,8.761658031,124.3601036,135.6761658,0.73211193,1.9037113,0.5773299
1776.jpg,8.943661972,110.5739437,167.1338028,0.59496933,2.0680645,0.6269713
1780.jpg,9.048076923,134.8397436,130.6346154,0.6814627,1.7303987,0.5947203
1798.jpg,9.603211009,90.87614679,202.5344037,0.7160226,1.5367817,0.5827429
1800.jpg,8.862433862,96.64550265,172.2169312,0.72495973,1.705766,0.57972366
1804.jpg,8.997722096,98.73120729,161.8747153,0.70377135,1.9450529,0.58693326
1807.jpg,8.949579832,92.85434174,173.6722689,0.8157381,1.7487421,0.55074024
1812.jpg,9.058558559,97.51351351,163.009009,0.82083386,1.7470628,0.5491989
1816.jpg,8.940758294,92.09241706,173.7274882,0.7285196,1.705237,0.5785297
1820.jpg,9.06833713,98.98405467,158.2460137,0.758091,1.675667,0.5687988
1824.jpg,8.864640884,77.0441989,198.4198895,0.6909788,1.8275946,0.59137344
1827.jpg,8.95,106.2366667,171.78,0.677882,1.6737231,0.59598947
1830.jpg,9.393861893,80.74680307,189.8337596,0.6979437,1.7803096,0.58894765
1836.jpg,9.564792176,104.5501222,186.1711491,0.7393968,1.7815976,0.57491195
1843.jpg,8.484693878,101.6505102,180.3290816,0.7239939,1.6773502,0.58004844
1849.jpg,10.24519231,85.24278846,204.1850962,0.6205988,2.680697,0.6170559
1868.jpg,8.123867069,106.18429,149.5981873,0.6967631,1.6930927,0.58935744
1870.jpg,8.273209549,89.64190981,159.8700265,0.702198,1.8034785,0.5874757
1874.jpg,9.713615023,76.11971831,194.4131455,0.72520155,1.9072992,0.5796424
1877.jpg,9.402332362,124.6005831,135.4081633,0.7048269,1.977086,0.58656985
1882.jpg,10.20212766,79.30053191,207.9521277,0.71628386,1.7335196,0.5826542
1887.jpg,8.737837838,114.0540541,159.2081081,0.684877,1.8050736,0.59351516
1890.jpg,10.06870229,91.45038168,184.1348601,0.7290515,1.8987095,0.5783518
1899.jpg,10.64779874,92.08805031,171.5303983,0.7230208,1.9711531,0.580376
1903.jpg,10.02314815,94.31481481,169.6643519,0.6788396,1.9107145,0.5956495
1905.jpg,9.252252252,87.72972973,179.6779279,0.7936597,2.0796213,0.5575194
1906.jpg,8.931958763,93.95051546,184.4268041,0.67534506,2.0007734,0.59689194
1911.jpg,9.732899023,104.0651466,170.6579805,0.7252691,1.799839,0.5796197
1917.jpg,9.440233236,105.4169096,163.0437318,0.76867527,1.8222857,0.56539494
1925.jpg,8.885386819,114.5787966,152.8481375,0.62415326,1.5986104,0.61570543
1927.jpg,8.604819277,124.5759036,145.4313253,0.8552968,1.8298208,0.5389973
1935.jpg,9.649484536,85.80206186,196.8,0.6877804,1.6118835,0.5924942
1938.jpg,9.359195402,91.24425287,182.0258621,0.70273656,1.8700433,0.5872899
1941.jpg,9.497584541,94.96135266,179.3067633,0.6990736,1.7596067,0.588556
1944.jpg,10.2962963,86.68312757,175.6954733,0.6499676,1.8655335,0.6060725
1951.jpg,8.497340426,75.47606383,197.2526596,0.7182738,1.5924492,0.58197945
1952.jpg,8.173441734,91.58265583,213.2140921,0.7587937,1.1627753,0.5685715
1956.jpg,8.851515152,90.00606061,175.4878788,0.73829114,1.8453525,0.5752776
1959.jpg,8.937254902,89.95686275,182.1098039,0.76291704,1.8292046,0.56724167
1962.jpg,8.867052023,133.283237,127.6011561,0.6355401,1.272079,0.6114188
1966.jpg,10.18352941,86.04941176,193.6847059,0.71548116,1.6533346,0.5829268
1970.jpg,8.634560907,77.94617564,187.4730878,0.69592255,1.8356154,0.58964956
1971.jpg,10.13913043,67.45797101,203.6173913,0.72083247,1.8403968,0.58111405
1978.jpg,9.373177843,125.5860058,140.0379009,0.69255567,1.7392639,0.5908225
1983.jpg,9.231182796,117.6317204,152.2741935,0.8052713,1.8454616,0.5539333
1999.jpg,9.191428571,120.84,148.9142857,0.76242846,1.7393899,0.5673989
2002.jpg,6.804560261,66.80456026,192.8469055,0.78639513,1.6186234,0.5597866
2006.jpg,9.37150838,106.7541899,157.0698324,0.66118217,1.7490625,0.6019809
2008.jpg,9.451219512,108.8445122,155.5213415,0.6573347,1.7312202,0.6033785
2016.jpg,9.19047619,104.1666667,178.9107143,0.684679,1.6371554,0.59358495
2020.jpg,9.052272727,99.65909091,158.85,0.7051417,1.9398564,0.5864615
2024.jpg,8.878571429,75.23333333,191.3738095,0.75162584,1.7072784,0.5708982
2027.jpg,9.228658537,94.04878049,175.7408537,0.7344499,1.8563404,0.5765517
2034.jpg,10.04044944,88.02696629,196.5775281,0.62663424,1.7246294,0.61476636
2036.jpg,8.797368421,133.0552632,139.6526316,0.74359447,1.6886641,0.5735279
2037.jpg,8.923913043,137.4369565,122.9586957,0.70555115,1.8488973,0.58632076
2044.jpg,10.83373494,84.82650602,196.426506,0.82518315,1.8835869,0.5478902
2047.jpg,10.9205298,76.9205298,188.8785872,0.72305876,1.6380218,0.5803633
2057.jpg,9.005037783,93.97732997,190.2065491,0.6470821,1.6780388,0.6071342
2070.jpg,9.588652482,87.49408983,194.8628842,0.6693453,1.7649001,0.5990373
2073.jpg,9.176190476,86.53571429,196.5261905,0.6547523,1.8568869,0.60432005
2074.jpg,9.484931507,83.91506849,200.0328767,0.7021335,1.9251403,0.58749795
2076.jpg,9.599483204,92.73385013,189,0.688676,1.6413673,0.5921799
2077.jpg,9.952380952,91.85,186.1190476,0.73356396,1.663681,0.57684636
2084.jpg,9.190594059,93.63613861,184,0.64290845,1.706988,0.6086766
2088.jpg,9.002040816,91.16530612,189.4183673,0.90198034,1.8484341,0.52576774
2092.jpg,9.435114504,91.84160305,180.3473282,0.5906748,1.8187463,0.628664
2096.jpg,9.399497487,87.88190955,200.8165829,0.6740539,1.7705891,0.5973523
2100.jpg,9.488664987,102.1838791,176.6221662,0.7776399,1.7989504,0.5625436
2103.jpg,9.085450346,88.71362587,187.3371824,0.6540661,3.3497071,0.60457075
2105.jpg,9.529268293,89.48780488,188.7317073,0.6462839,1.794073,0.6074286
2112.jpg,10.57040573,75.22673031,187.5298329,0.79402936,1.9477419,0.5574045
2115.jpg,9.956268222,94.5393586,177.6588921,0.71586937,1.7575336,0.58279496
2119.jpg,12.81818182,143.2272727,181.8545455,0.6812033,1.606306,0.59481204
2122.jpg,12.99380805,141.6996904,187.2941176,0.608734,1.9354709,0.62160677
2127.jpg,13.68608414,138.5501618,184.1326861,0.6636179,1.6643028,0.60109955
2138.jpg,9.893518519,76.05092593,191.787037,0.7351365,2.0629268,0.5763235
2141.jpg,10.98955614,96.96344648,181.1723238,0.7977385,1.922788,0.55625445
2144.jpg,10.86807388,98.68073879,175.4934037,0.7816928,1.7396866,0.561264
2150.jpg,9.778869779,75.60687961,195.2186732,0.7150011,1.8465793,0.58309
2153.jpg,9.098630137,120.0219178,125.509589,0.63676405,1.7752353,0.6109616
2160.jpg,6.785932722,80.18348624,164.7522936,0.7938696,1.7790304,0.5574541
2168.jpg,8.862337662,81.61038961,189.1324675,0.7106442,1.8196195,0.5845751
2171.jpg,7.777777778,69.78114478,191.6329966,0.77644914,1.7799752,0.56292075
2176.jpg,10.02455357,92.609375,188.4285714,0.7298016,1.6036723,0.578101
2179.jpg,9.630102041,65.12244898,188.747449,0.7126522,1.8022017,0.58388966
2184.jpg,9.492063492,127.8920635,132.6222222,0.65300924,1.6498682,0.6049573
2187.jpg,8.725433526,127.8323699,126.4913295,0.713643,1.5991017,0.5835521
2201.jpg,8.771771772,125.9369369,146.6156156,0.8475188,1.6288748,0.54126644
2203.jpg,8.56779661,119.3248588,147.8841808,0.7693272,1.7209388,0.56518656
2204.jpg,8.781767956,119.1243094,135.1933702,0.7826512,1.6722019,0.56096226
2211.jpg,8.325333333,113.384,159.0666667,0.7012609,1.6088649,0.5877993
2215.jpg,5.609042553,81.86170213,151.0026596,0.7477023,1.563358,0.5721798
2218.jpg,9.194148936,76.07180851,190.4787234,0.6964877,1.7902117,0.5894531
2220.jpg,10.21021021,115.7777778,175.8048048,0.7094216,1.796174,0.5849932
2222.jpg,8.978723404,77.82370821,188.7598784,0.70935637,1.8752296,0.58501554
